# ESTAR: Stopping Powers and Range Tables for Electrons
# 
# AIR, DRY (NEAR SEA LEVEL)                                              
#
# Kinetic  	Collision	Radiative	Total    	D. Effect	
# Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Parameter	
# MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	         	
#
1.415E+01	2.056E+00	2.704E-01	2.327E+00	0.000E+00
1.500E+01	2.069E+00	2.895E-01	2.359E+00	0.000E+00
1.534E+01	2.074E+00	2.972E-01	2.372E+00	0.000E+00
1.664E+01	2.093E+00	3.266E-01	2.419E+00	0.000E+00
1.804E+01	2.111E+00	3.589E-01	2.470E+00	0.000E+00
1.956E+01	2.129E+00	3.941E-01	2.523E+00	0.000E+00
2.000E+01	2.134E+00	4.042E-01	2.539E+00	0.000E+00
2.121E+01	2.148E+00	4.326E-01	2.580E+00	0.000E+00
2.300E+01	2.166E+00	4.747E-01	2.641E+00	0.000E+00
2.495E+01	2.184E+00	5.206E-01	2.705E+00	0.000E+00
2.500E+01	2.185E+00	5.219E-01	2.707E+00	0.000E+00
2.705E+01	2.203E+00	5.708E-01	2.774E+00	0.000E+00
2.933E+01	2.221E+00	6.256E-01	2.847E+00	3.956E-03
3.000E+01	2.226E+00	6.417E-01	2.868E+00	7.563E-03
3.181E+01	2.238E+00	6.854E-01	2.924E+00	2.194E-02
3.449E+01	2.254E+00	7.505E-01	3.005E+00	5.280E-02
3.500E+01	2.257E+00	7.630E-01	3.020E+00	5.965E-02
3.740E+01	2.270E+00	8.216E-01	3.091E+00	9.495E-02
4.000E+01	2.282E+00	8.855E-01	3.167E+00	1.375E-01
4.055E+01	2.284E+00	8.991E-01	3.183E+00	1.470E-01
4.398E+01	2.298E+00	9.837E-01	3.282E+00	2.076E-01
4.500E+01	2.302E+00	1.009E+00	3.311E+00	2.263E-01
4.769E+01	2.311E+00	1.076E+00	3.387E+00	2.759E-01
5.000E+01	2.319E+00	1.133E+00	3.452E+00	3.189E-01
5.171E+01	2.324E+00	1.176E+00	3.500E+00	3.507E-01
5.607E+01	2.337E+00	1.285E+00	3.622E+00	4.313E-01
6.000E+01	2.347E+00	1.384E+00	3.731E+00	5.025E-01
6.080E+01	2.349E+00	1.404E+00	3.753E+00	5.168E-01
6.593E+01	2.360E+00	1.534E+00	3.894E+00	6.068E-01
7.000E+01	2.369E+00	1.637E+00	4.006E+00	6.758E-01
7.149E+01	2.372E+00	1.675E+00	4.047E+00	7.005E-01
7.753E+01	2.383E+00	1.829E+00	4.212E+00	7.976E-01
8.000E+01	2.387E+00	1.892E+00	4.279E+00	8.361E-01
8.407E+01	2.394E+00	1.996E+00	4.390E+00	8.976E-01
9.000E+01	2.403E+00	2.148E+00	4.551E+00	9.837E-01
9.116E+01	2.405E+00	2.178E+00	4.582E+00	1.000E+00
9.885E+01	2.415E+00	2.376E+00	4.791E+00	1.105E+00
